"annotation_id","source","example_id","stratum","perturbation_point","strategy","final_label","labeled_by","judge_label","variant_agreement","variant_labels"
"194","bbh","bbh_3097","BBH_majority31","middle","wrong_elimination","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"195","bbh","bbh_5230","BBH_majority31","early","false_analogy","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"196","bbh","bbh_201","RANDOM_baseline","early","confidence_injection","C","rule","","not_covered",""
"197","bbh","bbh_1762","BBH_split22","late","false_analogy","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"198","mmlu","mmlu_2976","MMLU_agree","early","reversed_logic","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"199","mmlu","mmlu_33","MMLU_majority31","late","reversed_logic","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"200","bbh","bbh_4285","BBH_split22","early","confidence_injection","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"201","mmlu","mmlu_412","MMLU_split22","middle","wrong_elimination","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"202","mmlu","mmlu_4449","RANDOM_baseline","middle","premise_contradiction","A","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"203","gsm8k","gsm8k_782","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"204","mmlu","mmlu_2495","MMLU_split22","late","false_analogy","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"205","mmlu","mmlu_4124","MMLU_split22","early","premise_contradiction","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"206","bbh","bbh_4136","BBH_majority31","early","confidence_injection","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"207","gsm8k","gsm8k_295","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"208","mmlu","mmlu_4577","MMLU_split22","early","premise_contradiction","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"209","mmlu","mmlu_751","MMLU_split22","late","premise_contradiction","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"210","mmlu","mmlu_4713","MMLU_majority31","middle","premise_contradiction","A","rule","","majority_3_1","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=B"
"211","gsm8k","gsm8k_466","GSM_majority31","late","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"212","mmlu","mmlu_1290","MMLU_split22","late","false_analogy","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"213","bbh","bbh_5463","BBH_agree","early","false_analogy","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"214","bbh","bbh_2289","BBH_type_c","middle","false_analogy","C","rule","","not_covered",""
"215","bbh","bbh_5389","BBH_agree","early","premise_contradiction","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"216","bbh","bbh_4601","BBH_split22","late","premise_contradiction","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"217","bbh","bbh_2898","BBH_agree","late","reversed_logic","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"218","mmlu","mmlu_4328","MMLU_majority31","early","reversed_logic","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"219","gsm8k","gsm8k_29","GSM_agree","late","arithmetic_change","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"220","bbh","bbh_5099","BBH_type_c","early","reversed_logic","C","rule","","not_covered",""
"221","gsm8k","gsm8k_95","GSM_split22","middle","arithmetic_change","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"222","bbh","bbh_188","BBH_type_c","middle","confidence_injection","C","rule","","not_covered",""
"223","bbh","bbh_1190","BBH_type_c","early","false_analogy","C","rule","","not_covered",""
"224","bbh","bbh_1216","BBH_split22","late","premise_contradiction","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"225","gsm8k","gsm8k_577","GSM_majority31","early","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"226","bbh","bbh_1560","BBH_type_c","middle","false_analogy","C","rule","","not_covered",""
"227","bbh","bbh_3128","BBH_agree","early","false_analogy","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"228","mmlu","mmlu_4735","MMLU_agree","middle","false_analogy","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"229","bbh","bbh_3417","BBH_majority31","middle","false_analogy","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"230","gsm8k","gsm8k_235","GSM_majority31","early","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"231","gsm8k","gsm8k_763","GSM_split22","middle","arithmetic_change","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"232","mmlu","mmlu_4686","RANDOM_baseline","middle","wrong_elimination","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"233","bbh","bbh_3389","BBH_split22","early","reversed_logic","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"234","gsm8k","gsm8k_17","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"235","mmlu","mmlu_1219","MMLU_majority31","early","false_analogy","A","rule","","majority_3_1","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"236","bbh","bbh_3148","BBH_majority31","late","confidence_injection","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"237","mmlu","mmlu_4857","MMLU_split22","late","wrong_elimination","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"238","gsm8k","gsm8k_859","RANDOM_baseline","early","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"239","mmlu","mmlu_936","MMLU_majority31","middle","premise_contradiction","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"240","gsm8k","gsm8k_112","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"241","mmlu","mmlu_4708","MMLU_majority31","middle","premise_contradiction","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"242","gsm8k","gsm8k_115","GSM_agree","middle","arithmetic_change","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"243","mmlu","mmlu_1771","MMLU_majority31","early","confidence_injection","B","rule","","majority_3_1","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"244","mmlu","mmlu_1694","MMLU_majority31","middle","premise_contradiction","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"245","gsm8k","gsm8k_873","GSM_type_c","middle","operation_swap","C","rule","","not_covered",""
"246","mmlu","mmlu_2964","MMLU_type_c","middle","confidence_injection","C","rule","","not_covered",""
"247","bbh","bbh_3947","RANDOM_baseline","late","wrong_elimination","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"248","mmlu","mmlu_3046","RANDOM_baseline","middle","wrong_elimination","C","rule","","not_covered",""
"249","bbh","bbh_731","BBH_majority31","early","wrong_elimination","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"250","mmlu","mmlu_2867","MMLU_majority31","early","reversed_logic","B","rule","","majority_3_1","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"251","bbh","bbh_5048","BBH_majority31","middle","false_analogy","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"252","gsm8k","gsm8k_206","GSM_split22","early","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"253","bbh","bbh_5468","BBH_split22","middle","reversed_logic","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"254","bbh","bbh_3579","BBH_agree","middle","confidence_injection","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"255","gsm8k","gsm8k_810","GSM_majority31","late","operation_swap","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"256","bbh","bbh_5410","BBH_split22","late","reversed_logic","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"257","gsm8k","gsm8k_504","RANDOM_baseline","late","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"258","gsm8k","gsm8k_236","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"259","bbh","bbh_425","BBH_majority31","middle","wrong_elimination","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"260","gsm8k","gsm8k_113","GSM_majority31","early","operation_swap","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"261","gsm8k","gsm8k_563","GSM_majority31","middle","operation_swap","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"262","mmlu","mmlu_555","MMLU_agree","early","premise_contradiction","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"263","bbh","bbh_145","BBH_split22","late","reversed_logic","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"264","gsm8k","gsm8k_163","GSM_split22","early","arithmetic_change","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"265","mmlu","mmlu_3555","RANDOM_baseline","late","reversed_logic","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"266","mmlu","mmlu_4506","MMLU_split22","late","confidence_injection","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"267","gsm8k","gsm8k_252","GSM_split22","middle","arithmetic_change","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"268","bbh","bbh_5283","BBH_type_c","middle","false_analogy","C","rule","","not_covered",""
"269","gsm8k","gsm8k_87","GSM_majority31","late","arithmetic_change","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"270","gsm8k","gsm8k_19","GSM_split22","early","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"271","bbh","bbh_4802","BBH_type_c","middle","false_analogy","C","rule","","not_covered",""
"272","gsm8k","gsm8k_170","GSM_agree","late","arithmetic_change","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"273","mmlu","mmlu_4162","MMLU_agree","middle","reversed_logic","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"274","mmlu","mmlu_4952","MMLU_split22","early","false_analogy","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"275","gsm8k","gsm8k_410","GSM_majority31","late","operation_swap","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"276","gsm8k","gsm8k_328","GSM_majority31","middle","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"277","gsm8k","gsm8k_506","GSM_agree","middle","operation_swap","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"278","bbh","bbh_4155","BBH_majority31","late","reversed_logic","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"279","mmlu","mmlu_3471","MMLU_agree","late","premise_contradiction","A","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"280","gsm8k","gsm8k_698","GSM_type_c","early","operation_swap","C","rule","","not_covered",""
"281","gsm8k","gsm8k_97","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"282","mmlu","mmlu_4486","MMLU_agree","early","confidence_injection","A","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"283","mmlu","mmlu_1516","MMLU_split22","late","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"284","mmlu","mmlu_3429","MMLU_type_c","late","wrong_elimination","C","rule","","not_covered",""
"285","gsm8k","gsm8k_561","GSM_agree","middle","operation_swap","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"286","bbh","bbh_4266","BBH_split22","early","premise_contradiction","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"287","gsm8k","gsm8k_108","GSM_agree","late","arithmetic_change","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"288","gsm8k","gsm8k_335","GSM_majority31","late","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"289","mmlu","mmlu_3132","MMLU_majority31","early","false_analogy","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"290","gsm8k","gsm8k_84","GSM_agree","late","arithmetic_change","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"291","bbh","bbh_242","BBH_majority31","early","premise_contradiction","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"292","gsm8k","gsm8k_673","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"293","gsm8k","gsm8k_711","GSM_majority31","early","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"294","bbh","bbh_5208","RANDOM_baseline","middle","reversed_logic","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"295","mmlu","mmlu_3752","MMLU_agree","late","confidence_injection","A","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"296","gsm8k","gsm8k_111","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"297","gsm8k","gsm8k_828","GSM_split22","early","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"298","mmlu","mmlu_4635","MMLU_split22","late","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"299","bbh","bbh_2172","BBH_split22","late","wrong_elimination","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"300","bbh","bbh_5091","BBH_agree","middle","premise_contradiction","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"301","gsm8k","gsm8k_548","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"302","bbh","bbh_2926","BBH_split22","early","wrong_elimination","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"303","mmlu","mmlu_3359","MMLU_split22","late","premise_contradiction","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"304","bbh","bbh_2143","BBH_split22","late","false_analogy","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"305","gsm8k","gsm8k_119","GSM_split22","early","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"306","gsm8k","gsm8k_115","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"307","bbh","bbh_3793","RANDOM_baseline","middle","confidence_injection","C","judge","C","not_covered",""
"308","mmlu","mmlu_2426","MMLU_majority31","middle","premise_contradiction","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"309","bbh","bbh_4827","BBH_type_c","early","false_analogy","C","rule","","not_covered",""
"310","bbh","bbh_1911","BBH_majority31","middle","confidence_injection","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"311","gsm8k","gsm8k_577","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"312","mmlu","mmlu_3636","RANDOM_baseline","late","false_analogy","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"313","bbh","bbh_2688","BBH_majority31","late","wrong_elimination","B","judge","B","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"314","mmlu","mmlu_4094","RANDOM_baseline","late","reversed_logic","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"315","bbh","bbh_2992","RANDOM_baseline","late","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"316","bbh","bbh_4326","BBH_split22","late","wrong_elimination","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"317","mmlu","mmlu_4777","MMLU_agree","middle","premise_contradiction","B","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"318","bbh","bbh_4742","BBH_majority31","late","false_analogy","B","judge","B","majority_3_1","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"319","bbh","bbh_2877","BBH_split22","early","wrong_elimination","A","judge","A","split_2_2","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=B"
"320","mmlu","mmlu_3707","MMLU_majority31","early","false_analogy","B","rule","","majority_3_1","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"321","mmlu","mmlu_1306","MMLU_split22","early","reversed_logic","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"322","mmlu","mmlu_4963","MMLU_split22","late","wrong_elimination","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"323","bbh","bbh_5318","BBH_split22","middle","false_analogy","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"324","gsm8k","gsm8k_638","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"325","mmlu","mmlu_1255","MMLU_majority31","middle","wrong_elimination","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"326","gsm8k","gsm8k_75","GSM_agree","late","operation_swap","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"327","mmlu","mmlu_3462","MMLU_majority31","late","premise_contradiction","A","rule","","majority_3_1","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"328","gsm8k","gsm8k_727","GSM_split22","early","arithmetic_change","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"329","mmlu","mmlu_444","RANDOM_baseline","middle","reversed_logic","C","rule","","not_covered",""
"330","mmlu","mmlu_3555","MMLU_majority31","middle","confidence_injection","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"331","bbh","bbh_4519","BBH_agree","middle","wrong_elimination","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"332","gsm8k","gsm8k_322","GSM_majority31","late","operation_swap","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"333","bbh","bbh_3876","BBH_split22","middle","false_analogy","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"334","gsm8k","gsm8k_815","GSM_split22","late","operation_swap","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"335","gsm8k","gsm8k_766","GSM_split22","late","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"336","mmlu","mmlu_3003","MMLU_split22","middle","confidence_injection","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"337","gsm8k","gsm8k_409","RANDOM_baseline","middle","arithmetic_change","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"338","mmlu","mmlu_3872","MMLU_majority31","late","premise_contradiction","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"339","gsm8k","gsm8k_420","GSM_agree","late","operation_swap","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"340","mmlu","mmlu_1728","RANDOM_baseline","middle","confidence_injection","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"341","bbh","bbh_1621","RANDOM_baseline","middle","confidence_injection","C","rule","","not_covered",""
"342","bbh","bbh_2601","BBH_split22","late","confidence_injection","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"343","gsm8k","gsm8k_612","GSM_agree","early","operation_swap","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"344","bbh","bbh_5237","BBH_agree","late","confidence_injection","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"345","mmlu","mmlu_1584","MMLU_split22","middle","premise_contradiction","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"346","mmlu","mmlu_2975","MMLU_split22","late","reversed_logic","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"347","bbh","bbh_4914","RANDOM_baseline","late","confidence_injection","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"348","mmlu","mmlu_3231","MMLU_split22","middle","false_analogy","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"349","bbh","bbh_3645","BBH_type_c","early","false_analogy","C","judge","C","not_covered",""
"350","gsm8k","gsm8k_747","GSM_agree","middle","arithmetic_change","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"351","bbh","bbh_4892","BBH_type_c","late","false_analogy","C","rule","","not_covered",""
"352","bbh","bbh_3295","BBH_majority31","middle","premise_contradiction","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"353","mmlu","mmlu_2775","MMLU_split22","middle","reversed_logic","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"354","mmlu","mmlu_281","MMLU_split22","late","confidence_injection","B","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"355","bbh","bbh_225","RANDOM_baseline","early","wrong_elimination","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"356","gsm8k","gsm8k_641","GSM_majority31","early","operation_swap","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"357","gsm8k","gsm8k_690","GSM_agree","middle","arithmetic_change","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"358","gsm8k","gsm8k_513","GSM_split22","early","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"359","mmlu","mmlu_2922","MMLU_agree","middle","reversed_logic","A","rule","","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"360","gsm8k","gsm8k_553","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"361","mmlu","mmlu_4953","MMLU_split22","late","reversed_logic","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"362","gsm8k","gsm8k_549","GSM_split22","late","operation_swap","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"363","bbh","bbh_770","BBH_majority31","late","false_analogy","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"364","mmlu","mmlu_1758","MMLU_majority31","late","reversed_logic","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"365","mmlu","mmlu_3754","MMLU_split22","middle","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"366","gsm8k","gsm8k_757","GSM_majority31","late","operation_swap","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"367","bbh","bbh_3352","BBH_majority31","middle","premise_contradiction","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"368","gsm8k","gsm8k_503","GSM_split22","early","operation_swap","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"369","gsm8k","gsm8k_832","GSM_split22","late","operation_swap","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"370","bbh","bbh_5127","BBH_split22","late","wrong_elimination","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"371","bbh","bbh_5392","RANDOM_baseline","middle","confidence_injection","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"372","gsm8k","gsm8k_378","GSM_majority31","late","arithmetic_change","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"373","mmlu","mmlu_630","MMLU_majority31","late","wrong_elimination","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"374","bbh","bbh_4721","BBH_split22","early","confidence_injection","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"375","bbh","bbh_1751","BBH_type_c","early","wrong_elimination","C","judge","C","not_covered",""
"376","gsm8k","gsm8k_239","GSM_majority31","late","operation_swap","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"377","bbh","bbh_761","BBH_type_c","late","premise_contradiction","C","rule","","not_covered",""
"378","gsm8k","gsm8k_180","GSM_split22","late","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"379","mmlu","mmlu_4573","MMLU_type_c","late","false_analogy","C","rule","","not_covered",""
"380","bbh","bbh_5101","BBH_split22","late","premise_contradiction","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"381","gsm8k","gsm8k_279","RANDOM_baseline","late","operation_swap","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"382","bbh","bbh_2052","RANDOM_baseline","late","confidence_injection","C","rule","","not_covered",""
